SOI_CD,SOI_NM,ITT_CD,ITT_NM,SOI_NM2, SOI_CD2,,,,
41,상호저축,706,인천저축은행,제2금융권,2,,,,
41,상호저축,708,에이스저축은행,제2금융권,2,,,,
41,상호저축,709,신라저축은행,제2금융권,2,,,,
41,상호저축,710,모아저축은행,제2금융권,2,,,,
41,상호저축,716,남양저축은행,제2금융권,2,,,,
41,상호저축,719,경기저축은행,제2금융권,2,,,,
41,상호저축,720,부림저축은행,제2금융권,2,,,,
41,상호저축,723,키움저축은행,제2금융권,2,,,,
41,상호저축,724,삼정저축은행,제2금융권,2,,,,
41,상호저축,725,한화저축은행,제2금융권,2,,,,
41,상호저축,727,평택저축은행,제2금융권,2,,,,
41,상호저축,732,안국저축은행,제2금융권,2,,,,
41,상호저축,733,안양저축은행,제2금융권,2,,,,
41,상호저축,734,영진저축은행,제2금융권,2,,,,
41,상호저축,737,융창저축은행,제2금융권,2,,,,
41,상호저축,738,세람저축은행,제2금융권,2,,,,
41,상호저축,740,페퍼저축은행,제2금융권,2,,,,
41,상호저축,741,상상인저축은행,제2금융권,2,,,,
41,상호저축,744,대한저축은행,제2금융권,2,,,,
41,상호저축,745,동양저축은행,제2금융권,2,,,,
41,상호저축,746,더블저축은행,제2금융권,2,,,,
41,상호저축,751,센트럴저축은행,제2금융권,2,,,,
41,상호저축,752,스마트저축은행,제2금융권,2,,,,
41,상호저축,755,한국투자저축은행,제2금융권,2,,,,
41,상호저축,761,보해저축은행,제2금융권,2,,,,
41,상호저축,763,골든브릿지상호저축은행,제2금융권,2,,,,
41,상호저축,771,대전저축은행,제2금융권,2,,,,
41,상호저축,777,상상인플러스저축은행,제2금융권,2,,,,
41,상호저축,778,아산저축은행,제2금융권,2,,,,
41,상호저축,779,오투저축은행,제2금융권,2,,,,
41,상호저축,783,한주저축은행,제2금융권,2,,,,
41,상호저축,785,강원저축은행,제2금융권,2,,,,
41,상호저축,789,도민저축은행,제2금융권,2,,,,
41,상호저축,792,대명저축은행,제2금융권,2,,,,
41,상호저축,794,아주저축은행,제2금융권,2,,,,
41,상호저축,796,청주저축은행,제2금융권,2,,,,
41,상호저축,799,한성저축은행,제2금융권,2,,,,
41,상호저축,804,전북저축은행,제2금융권,2,,,,
41,상호저축,805,전일저축은행,제2금융권,2,,,,
41,상호저축,806,스타저축은행,제2금융권,2,,,,
41,상호저축,807,한울저축은행,제2금융권,2,,,,
41,상호저축,808,스마일저축은행,제2금융권,2,,,,
41,상호저축,812,라온저축은행,제2금융권,2,,,,
